iter	Passed	Remaining
787	38317	10308
788	38361	10258
789	38408	10209
790	38457	10161
791	38509	10113
792	38557	10064
793	38603	10015
794	38646	9965
795	38692	9916
796	38743	9868
797	38786	9818
798	38835	9769
799	38885	9721
800	38931	9672
801	38977	9622
802	39029	9575
803	39075	9525
804	39126	9477
805	39172	9428
806	39223	9380
807	39272	9332
808	39316	9282
809	39370	9235
810	39416	9185
811	39461	9136
812	39508	9087
813	39553	9038
814	39597	8988
815	39645	8939
816	39699	8892
817	39742	8842
818	39799	8795
819	39849	8747
820	39896	8698
821	39950	8651
822	39994	8601
823	40041	8552
824	40085	8503
825	40145	8456
826	40191	8407
827	40241	8359
828	40286	8310
829	40334	8261
830	40381	8212
831	40431	8164
832	40475	8114
833	40525	8066
834	40570	8016
835	40620	7968
836	40665	7919
837	40709	7869
838	40755	7820
839	40805	7772
840	40853	7723
841	40899	7674
842	40948	7626
843	41016	7581
844	41061	7532
845	41105	7482
846	41160	7435
847	41206	7386
848	41255	7337
849	41305	7289
850	41354	7240
851	41400	7191
852	41454	7143
853	41500	7094
854	41550	7046
855	41594	6997
856	41647	6949
857	41692	6900
858	41744	6852
859	41788	6802
860	41838	6754
861	41886	6705
862	41930	6656
863	41978	6607
864	42030	6559
865	42085	6512
866	42130	6462
867	42177	6414
868	42225	6365
869	42271	6316
870	42317	6267
871	42372	6219
872	42419	6170
873	42468	6122
874	42514	6073
875	42564	6025
876	42613	5976
877	42659	5927
878	42708	5879
879	42758	5830
880	42810	5782
881	42865	5734
882	42920	5687
883	42973	5639
884	43025	5590
885	43081	5543
886	43141	5495
887	43191	5447
888	43243	5399
889	43293	5350
890	43342	5302
891	43394	5254
892	43438	5204
893	43483	5155
894	43537	5107
895	43581	5058
896	43635	5010
897	43683	4961
898	43727	4912
899	43774	4863
900	43825	4815
901	43885	4768
902	43928	4718
903	43974	4669
904	44018	4620
905	44068	4572
906	44115	4523
907	44160	4474
908	44223	4427
909	44267	4378
910	44312	4329
911	44359	4280
912	44408	4231
913	44457	4183
914	44502	4134
915	44558	4086
916	44603	4037
917	44650	3988
918	44693	3939
919	44748	3891
920	44792	3842
921	44845	3793
922	44890	3744
923	44936	3696
924	44984	3647
925	45031	3598
926	45085	3550
927	45129	3501
928	45173	3452
929	45220	3403
930	45272	3355
931	45331	3307
932	45376	3258
933	45428	3210
934	45483	3161
935	45527	3113
936	45578	3064
937	45627	3015
938	45676	2967
939	45731	2919
940	45777	2870
941	45826	2821
942	45869	2772
943	45925	2724
944	45973	2675
945	46017	2626
946	46066	2578
947	46110	2529
948	46159	2480
949	46212	2432
950	46270	2384
951	46326	2335
952	46372	2287
953	46420	2238
954	46465	2189
955	46512	2140
956	46559	2092
957	46605	2043
958	46650	1994
959	46697	1945
960	46751	1897
961	46796	1848
962	46841	1799
963	46892	1751
964	46943	1702
965	46995	1654
966	47048	1605
967	47110	1557
968	47163	1508
969	47207	1460
970	47268	1411
971	47316	1363
972	47362	1314
973	47407	1265
974	47453	1216
975	47504	1168
976	47550	1119
977	47597	1070
978	47643	1021
979	47688	973
980	47741	924
981	47786	875
982	47837	827
983	47889	778
984	47933	729
985	47980	681
986	48031	632
987	48077	583
988	48122	535
989	48168	486
990	48223	437
991	48273	389
992	48318	340
993	48364	291
994	48417	243
995	48463	194
996	48509	145
997	48557	97
998	48604	48
999	48658	0
